ball	function	reason
D30	MGTHTXN1_130	not used in minimal system; no external interface
D29	MGTHTXP1_130	not used in minimal system; no external interface
E28	MGTREFCLK1N_130	not used in minimal system; no external interface
E27	MGTREFCLK1P_130	not used in minimal system; no external interface
B30	MGTHTXN2_130	not used in minimal system; no external interface
B29	MGTHTXP2_130	not used in minimal system; no external interface
A32	MGTHTXN3_130	not used in minimal system; no external interface
A31	MGTHTXP3_130	not used in minimal system; no external interface
R3	MGTHTXN0_228	not used in minimal system; no external interface
R4	MGTHTXP0_228	not used in minimal system; no external interface
L7	MGTREFCLK0N_228	not used in minimal system; no external interface
L8	MGTREFCLK0P_228	not used in minimal system; no external interface
P5	MGTHTXN1_228	not used in minimal system; no external interface
P6	MGTHTXP1_228	not used in minimal system; no external interface
J7	MGTREFCLK1N_228	not used in minimal system; no external interface
J8	MGTREFCLK1P_228	not used in minimal system; no external interface
N3	MGTHTXN2_228	not used in minimal system; no external interface
N4	MGTHTXP2_228	not used in minimal system; no external interface
M5	MGTHTXN3_228	not used in minimal system; no external interface
M6	MGTHTXP3_228	not used in minimal system; no external interface
K5	MGTHTXN0_229	not used in minimal system; no external interface
K6	MGTHTXP0_229	not used in minimal system; no external interface
G7	MGTREFCLK0N_229	not used in minimal system; no external interface
G8	MGTREFCLK0P_229	not used in minimal system; no external interface
H5	MGTHTXN1_229	not used in minimal system; no external interface
H6	MGTHTXP1_229	not used in minimal system; no external interface
E7	MGTREFCLK1N_229	not used in minimal system; no external interface
E8	MGTREFCLK1P_229	not used in minimal system; no external interface
G3	MGTHTXN2_229	not used in minimal system; no external interface
G4	MGTHTXP2_229	not used in minimal system; no external interface
F5	MGTHTXN3_229	not used in minimal system; no external interface
F6	MGTHTXP3_229	not used in minimal system; no external interface
E3	MGTHTXN0_230	not used in minimal system; no external interface
E4	MGTHTXP0_230	not used in minimal system; no external interface
C7	MGTREFCLK0N_230	not used in minimal system; no external interface
C8	MGTREFCLK0P_230	not used in minimal system; no external interface
D5	MGTHTXN1_230	not used in minimal system; no external interface
D6	MGTHTXP1_230	not used in minimal system; no external interface
B9	MGTREFCLK1N_230	not used in minimal system; no external interface
B10	MGTREFCLK1P_230	not used in minimal system; no external interface
B5	MGTHTXN2_230	not used in minimal system; no external interface
B6	MGTHTXP2_230	not used in minimal system; no external interface
A7	MGTHTXN3_230	not used in minimal system; no external interface
A8	MGTHTXP3_230	not used in minimal system; no external interface
AE20	PS_MIO24_500	not used in minimal system; no external interface
AE19	PS_MIO25_500	not used in minimal system; no external interface
AL15	PS_MIO6_500	not used in minimal system; no external interface
P21	PS_MIO26_501	not used in minimal system; no external interface
M21	PS_MIO27_501	not used in minimal system; no external interface
N21	PS_MIO28_501	not used in minimal system; no external interface
K22	PS_MIO29_501	not used in minimal system; no external interface
L21	PS_MIO30_501	not used in minimal system; no external interface
J22	PS_MIO31_501	not used in minimal system; no external interface
H22	PS_MIO32_501	not used in minimal system; no external interface
H23	PS_MIO33_501	not used in minimal system; no external interface
L22	PS_MIO34_501	not used in minimal system; no external interface
P22	PS_MIO35_501	not used in minimal system; no external interface
K23	PS_MIO36_501	not used in minimal system; no external interface
N22	PS_MIO37_501	not used in minimal system; no external interface
L23	PS_MIO38_501	not used in minimal system; no external interface
N23	PS_MIO39_501	not used in minimal system; no external interface
M23	PS_MIO40_501	not used in minimal system; no external interface
J24	PS_MIO41_501	not used in minimal system; no external interface
N24	PS_MIO44_501	not used in minimal system; no external interface
P24	PS_MIO45_501	not used in minimal system; no external interface
J25	PS_MIO46_501	not used in minimal system; no external interface
L25	PS_MIO47_501	not used in minimal system; no external interface
M25	PS_MIO48_501	not used in minimal system; no external interface
K25	PS_MIO49_501	not used in minimal system; no external interface
P25	PS_MIO50_501	not used in minimal system; no external interface
N25	PS_MIO51_501	not used in minimal system; no external interface
F22	PS_MIO52_502	not used in minimal system; no external interface
E23	PS_MIO53_502	not used in minimal system; no external interface
F23	PS_MIO54_502	not used in minimal system; no external interface
B23	PS_MIO55_502	not used in minimal system; no external interface
C23	PS_MIO56_502	not used in minimal system; no external interface
A23	PS_MIO57_502	not used in minimal system; no external interface
G23	PS_MIO58_502	not used in minimal system; no external interface
B24	PS_MIO59_502	not used in minimal system; no external interface
E24	PS_MIO60_502	not used in minimal system; no external interface
C24	PS_MIO61_502	not used in minimal system; no external interface
G24	PS_MIO62_502	not used in minimal system; no external interface
D24	PS_MIO63_502	not used in minimal system; no external interface
A25	PS_MIO64_502	not used in minimal system; no external interface
